; 01/07/2020; 02/07/2020; 03/07/2020; 06/07/2020; 07/07/2020; 08/07/2020; 09/07/2020; 10/07/2020; 13/07/2020; 14/07/2020; 15/07/2020; 16/07/2020; 17/07/2020; 20/07/2020; 21/07/2020; 22/07/2020; 23/07/2020; 24/07/2020; 27/07/2020; 28/07/2020; 29/07/2020; 30/07/2020; 31/07/2020; TOTAL
; Quarta; Quinta; Sexta; Segunda; Terça; Quarta; Quinta; Sexta; Segunda; Terça; Quarta; Quinta; Sexta; Segunda; Terça; Quarta; Quinta; Sexta; Segunda; Terça; Quarta; Quinta; Sexta;
Saldo Anterior;10,35;1.702,40;10,35;10,35;9.043,24;10,35;285,47;10,35;80,57;338,3;207,16;130,19;659,68;36,71;689,02;407,09;406,84;406,84;406,84;2.873,39;10,35;10,35;10,35;
RECEITAS;1.692,05;0;1.342,00;9.032,89;0;11.895,42;4.491,01;70,22;327,95;15.905,33;119,84;32.199,57;26,36;678,42;0;0;0;0;2.863,04;21.892,20;0;1.508,87;1.692,03;105.737,20
Cliente Faturado;0;0;1.342,00;0;0;0;0;0;0;0;0;1.368,39;0;0;0;0;0;0;0;0;0;0;0;2.710,39
    FATURA;0;0;1.342,00;0;0;0;0;0;0;0;0;1.368,39;0;0;0;0;0;0;0;0;0;0;0;2.710,39
    CARTAO CREDITO VISA ;0;0;0;0;0;0;0;70,22;327,95;196,81;0;79,18;0;0;0;0;0;0;0;0;0;0;0;674,16
    CARTAO DE CREDITO MASTERCARD ;1.692,05;0;0;9.032,89;0;275,12;0;0;0;0;119,84;570,15;26,36;678,42;0;0;0;0;0;0;0;0;1.692,03;14.086,86
Cartão;1.692,05;0;0;9.032,89;0;275,12;0;70,22;327,95;196,81;119,84;649,33;26,36;678,42;0;0;0;0;0;0;0;0;1.692,03;14.761,02
Caixa Disponível;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Recebimento Antecipado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
    DEPOSITO NAO IDENTIFICADO ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.863,04;0;0;1.508,87;0;4.371,91
    OUTROS RECEBIMENTOS ;0;0;0;0;0;0;34,03;0;0;15.708,52;0;0;0;0;0;0;0;0;0;21.892,20;0;0;0;37.634,75
    RECIBO;0;0;0;0;0;11.620,30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.620,30
    REEMBOLSO;0;0;0;0;0;0;4.456,98;0;0;0;0;30.181,85;0;0;0;0;0;0;0;0;0;0;0;34.638,83
Outros Recebimentos;0;0;0;0;0;11.620,30;4.491,01;0;0;15.708,52;0;30.181,85;0;0;0;0;0;0;2.863,04;21.892,20;0;1.508,87;0;88.265,79
DESPESAS;-7.247,81;-16.853,49;-4.261,26;-10.866,60;-34.497,15;0;0;-74.176,45;-37.943,14;-5.122,94;-33.433,94;-12.462,39;-3.443,77;-60.752,70;-56.255,60;-23.861,07;-144;-5.710,57;-10.274,32;-1.894,64;-9.151,29;-32.068,85;-151.223,10;-591.645,08
    0401  SALARIOS (CUSTO);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-124.856,91;-124.856,91
    0418  PENSAO JUDICIAL A RECOLHER;0;0;0;0;-325,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-325,89
Salários;0;0;0;0;-325,89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-124.856,91;-125.182,80
    0601  ASSISTENCIA MEDICA (CUSTO);0;0;0;0;0;0;0;-46.010,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-46.010,56
    0602  CESTA BASICA (CUSTO);0;0;0;0;0;0;0;0;0;0;-5.500,00;0;0;0;0;0;0;0;0;0;0;0;0;-5.500,00
    0604  PLANO DE INCENTIVO (CUSTO);0;0;0;0;0;0;0;0;0;-3.525,50;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.525,50
    0606  SEGURO DE VIDA (CUSTO);0;0;0;-1.490,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.490,39
    0608  REFEICAO (CUSTO);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.382,38;-1.382,38
    0609  VALE TRANSPORTE (CUSTO);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.183,19;0;0;0;0;0;0;0;-2.183,19
    0613  LAVANDERIA DE UNIFORMES (CUSTO);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.697,38;0;0;0;0;0;0;0;-1.697,38
    2109  AJUDA DE CUSTO (DESPESAS);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.411,30;0;-2.411,30
    2301  ASSISTENCIA MEDICA (DESPESAS);0;0;0;0;0;0;0;-17.840,39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-17.840,39
    2302  CESTA BASICA (DESPESAS);0;0;0;0;0;0;0;0;0;0;-1.492,00;0;0;0;0;0;0;0;0;0;0;0;0;-1.492,00
    2306  SEGURO DE VIDA (DESPESAS);0;0;0;-1.215,32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.215,32
    2308  REFEICAO (DESPESAS);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.806,65;-2.806,65
    2309  VALE TRANSPORTE (DESPESAS);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.979,41;0;0;0;-398,2;0;0;0;-3.377,61
    2313  LAVANDERIA DE UNIFORMES (DESPESAS);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-147,6;0;0;0;0;0;0;0;-147,6
Benefícios;0;0;0;-2.705,71;0;0;0;-63.850,95;0;-3.525,50;-6.992,00;0;0;0;0;-7.007,58;0;0;0;-398,2;0;-2.411,30;-4.189,03;-91.080,27
    0501  INSS - INSTITUTO NAC.S.SOCIAL(CUSTO;0;0;0;0;0;0;0;0;0;0;0;0;0;-30.166,82;0;0;0;0;0;0;0;0;0;-30.166,82
    2202  FGTS - FUND.GAR.S/TEMP. SERV(MES);0;0;0;0;-17.878,70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-17.878,70
    2204  CONTRIB.SIND.CONFED.(DESPESAS);0;0;0;0;0;0;0;-210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-210
Encargos;0;0;0;0;-17.878,70;0;0;-210;0;0;0;0;0;-30.166,82;0;0;0;0;0;0;0;0;0;-48.255,52
Aluguel / Condomínio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Distribuição Dividendos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
    0101  SUPRIMENTOS DE HOSPEDES;0;0;0;0;0;0;0;0;0;0;-8.445,81;0;0;0;0;0;0;0;0;0;0;0;-8.445,81;-16.891,62
    0106  LAVANDERIA DE ENXOVAL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10.884,87;0;0;0;0;0;0;0;-10.884,87
    0211  MATERIAIS DESCARTAVEIS;-984,05;0;0;0;0;0;0;0;0;0;-399,99;0;0;-160;0;0;0;-1.224,36;0;-28,5;0;-14,7;0;-2.811,60
  03  CUSTO DIRETO VENDAS DE MERCADORIA;0;0;0;-3.361,06;-14.918,86;0;0;0;0;0;0;-1.403,33;0;-333,08;0;0;0;-3.094,13;0;0;0;-1.388,62;-4.580,49;-29.079,57
    0301  ALIMENTOS;0;0;0;-3.361,06;-14.918,86;0;0;0;0;0;0;-1.403,33;0;-333,08;0;0;0;-3.094,13;0;0;0;-1.388,62;-4.463,49;-28.962,57
    0302  BEBIDAS NAO ALCOOLICAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-117;-117
